2020-09-01 07:04:12 startup archives install
2020-09-01 07:04:12 install base-passwd:amd64 <none> 3.5.46
2020-09-01 07:04:12 status half-installed base-passwd:amd64 3.5.46
2020-09-01 07:04:13 status unpacked base-passwd:amd64 3.5.46
2020-09-01 07:04:13 configure base-passwd:amd64 3.5.46 3.5.46
2020-09-01 07:04:13 status half-configured base-passwd:amd64 3.5.46
2020-09-01 07:04:13 status installed base-passwd:amd64 3.5.46
2020-09-01 07:04:13 startup archives install
2020-09-01 07:04:14 install base-files:amd64 <none> 10.3+deb10u5
2020-09-01 07:04:14 status half-installed base-files:amd64 10.3+deb10u5
2020-09-01 07:04:14 status unpacked base-files:amd64 10.3+deb10u5
2020-09-01 07:04:14 configure base-files:amd64 10.3+deb10u5 10.3+deb10u5
2020-09-01 07:04:14 status half-configured base-files:amd64 10.3+deb10u5
2020-09-01 07:04:15 status installed base-files:amd64 10.3+deb10u5
2020-09-01 07:04:15 startup archives install
2020-09-01 07:04:15 upgrade dpkg 1.19.7 1.19.7
2020-09-01 07:04:15 status half-configured dpkg 1.19.7
2020-09-01 07:04:15 status unpacked dpkg 1.19.7
2020-09-01 07:04:15 status half-installed dpkg 1.19.7
2020-09-01 07:04:16 status unpacked dpkg:amd64 1.19.7
2020-09-01 07:04:16 configure dpkg:amd64 1.19.7 1.19.7
2020-09-01 07:04:17 status half-configured dpkg:amd64 1.19.7
2020-09-01 07:04:17 status installed dpkg:amd64 1.19.7
2020-09-01 07:04:17 startup archives install
2020-09-01 07:04:17 install libc6:amd64 <none> 2.28-10
2020-09-01 07:04:17 status half-installed libc6:amd64 2.28-10
2020-09-01 07:04:19 status unpacked libc6:amd64 2.28-10
2020-09-01 07:04:19 configure libc6:amd64 2.28-10 2.28-10
2020-09-01 07:04:19 status half-configured libc6:amd64 2.28-10
2020-09-01 07:04:19 status installed libc6:amd64 2.28-10
2020-09-01 07:04:19 startup archives install
2020-09-01 07:04:20 install perl-base:amd64 <none> 5.28.1-6+deb10u1
2020-09-01 07:04:20 status half-installed perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:04:21 status unpacked perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:04:21 configure perl-base:amd64 5.28.1-6+deb10u1 5.28.1-6+deb10u1
2020-09-01 07:04:21 status half-configured perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:04:21 status installed perl-base:amd64 5.28.1-6+deb10u1
2020-09-01 07:04:21 startup archives install
2020-09-01 07:04:21 install mawk:amd64 <none> 1.3.3-17+b3
2020-09-01 07:04:21 status half-installed mawk:amd64 1.3.3-17+b3
2020-09-01 07:04:22 status unpacked mawk:amd64 1.3.3-17+b3
2020-09-01 07:04:22 configure mawk:amd64 1.3.3-17+b3 1.3.3-17+b3
2020-09-01 07:04:22 status half-configured mawk:amd64 1.3.3-17+b3
2020-09-01 07:04:22 status installed mawk:amd64 1.3.3-17+b3
2020-09-01 07:04:22 startup archives install
2020-09-01 07:04:23 install debconf:all <none> 1.5.71
2020-09-01 07:04:23 status half-installed debconf:all 1.5.71
2020-09-01 07:04:23 status unpacked debconf:all 1.5.71
2020-09-01 07:04:23 configure debconf:all 1.5.71 1.5.71
2020-09-01 07:04:24 status half-configured debconf:all 1.5.71
2020-09-01 07:04:24 status installed debconf:all 1.5.71
2020-09-01 07:04:24 startup archives unpack
2020-09-01 07:04:25 install libacl1:amd64 <none> 2.2.53-4
2020-09-01 07:04:25 status half-installed libacl1:amd64 2.2.53-4
2020-09-01 07:04:25 status unpacked libacl1:amd64 2.2.53-4
2020-09-01 07:04:26 install adduser:all <none> 3.118
2020-09-01 07:04:26 status half-installed adduser:all 3.118
2020-09-01 07:04:26 status unpacked adduser:all 3.118
2020-09-01 07:04:26 install apt:amd64 <none> 1.8.2.1
2020-09-01 07:04:26 status half-installed apt:amd64 1.8.2.1
2020-09-01 07:04:27 status unpacked apt:amd64 1.8.2.1
2020-09-01 07:04:27 install libapt-pkg5.0:amd64 <none> 1.8.2.1
2020-09-01 07:04:27 status half-installed libapt-pkg5.0:amd64 1.8.2.1
2020-09-01 07:04:28 status unpacked libapt-pkg5.0:amd64 1.8.2.1
2020-09-01 07:04:28 install libattr1:amd64 <none> 1:2.4.48-4
2020-09-01 07:04:28 status half-installed libattr1:amd64 1:2.4.48-4
2020-09-01 07:04:28 status unpacked libattr1:amd64 1:2.4.48-4
2020-09-01 07:04:29 install libaudit-common:all <none> 1:2.8.4-3
2020-09-01 07:04:29 status half-installed libaudit-common:all 1:2.8.4-3
2020-09-01 07:04:29 status unpacked libaudit-common:all 1:2.8.4-3
2020-09-01 07:04:29 install libaudit1:amd64 <none> 1:2.8.4-3
2020-09-01 07:04:29 status half-installed libaudit1:amd64 1:2.8.4-3
2020-09-01 07:04:30 status unpacked libaudit1:amd64 1:2.8.4-3
2020-09-01 07:04:30 upgrade base-files:amd64 10.3+deb10u5 10.3+deb10u5
2020-09-01 07:04:30 status half-configured base-files:amd64 10.3+deb10u5
2020-09-01 07:04:30 status unpacked base-files:amd64 10.3+deb10u5
2020-09-01 07:04:30 status half-installed base-files:amd64 10.3+deb10u5
2020-09-01 07:04:30 status unpacked base-files:amd64 10.3+deb10u5
2020-09-01 07:04:31 upgrade base-passwd:amd64 3.5.46 3.5.46
2020-09-01 07:04:31 status half-configured base-passwd:amd64 3.5.46
2020-09-01 07:04:31 status unpacked base-passwd:amd64 3.5.46
2020-09-01 07:04:31 status half-installed base-passwd:amd64 3.5.46
2020-09-01 07:04:31 status unpacked base-passwd:amd64 3.5.46
2020-09-01 07:04:32 install bash:amd64 <none> 5.0-4
2020-09-01 07:04:32 status half-installed bash:amd64 5.0-4
2020-09-01 07:04:32 status unpacked bash:amd64 5.0-4
2020-09-01 07:04:33 install libbz2-1.0:amd64 <none> 1.0.6-9.2~deb10u1
2020-09-01 07:04:33 status half-installed libbz2-1.0:amd64 1.0.6-9.2~deb10u1
